Level,Run,TimeSeconds,CPUSeconds,MaxMemoryMB
gg_2,3,0.01882767677307129,0.0,2.0
gg_2,4,0.03133225440979004,0.0,1.99609375
gg_2,5,0.02164936065673828,0.0,1.9765625
gg_2,6,0.017674922943115234,0.0,1.953125
gg_2,7,0.0272216796875,0.0,1.9609375
gg_2,8,0.015552520751953125,0.0,1.953125
gg_2,9,0.02373647689819336,0.0,1.953125
gg_2,10,0.02375507354736328,0.0,1.9609375
gg_2,11,0.02409219741821289,0.0,1.95703125
gg_2,12,0.025301456451416016,0.0,1.94921875
gg_2,13,0.0234525203704834,0.0,1.953125
gg_2,14,0.02403712272644043,0.0,1.94921875
gg_2,15,0.023866653442382812,0.0,1.9609375
gg_2,16,0.015841007232666016,0.0,1.953125
gg_2,17,0.024397850036621094,0.0,1.94921875
gg_2,18,0.023225784301757812,0.0,1.98828125
gg_2,19,0.023668527603149414,0.0,1.953125
gg_2,20,0.024689674377441406,0.0,1.9609375
gg_2,21,0.024439096450805664,0.0,1.9609375
gg_2,22,0.023619651794433594,0.0,1.9609375
gg_2,23,0.026391267776489258,0.0,1.99609375
gg_2,24,0.019504785537719727,0.0,1.99609375
gg_2,25,0.023456335067749023,0.0,2.0
gg_2,26,0.02236318588256836,0.0,1.99609375
gg_2,27,0.023731231689453125,0.0,1.94921875
gg_2,28,0.023756742477416992,0.0,1.9609375
gg_2,29,0.023506879806518555,0.0,1.953125
gg_2,30,0.025160789489746094,0.0,1.94921875
gg_2,31,0.024236440658569336,0.0,1.953125
gg_2,32,0.02517104148864746,0.0,1.953125
gg_2,33,0.02432537078857422,0.0,1.9609375
gg_2,34,0.014971256256103516,0.0,1.9609375
gg_2,35,0.02423882484436035,0.0,1.9609375
gg_2,36,0.024045467376708984,0.0,1.953125
gg_2,37,0.03129243850708008,0.0,1.9609375
gg_2,38,0.031001567840576172,0.0,1.9609375
gg_2,39,0.024274826049804688,0.0,1.953125
gg_2,40,0.023625612258911133,0.0,1.9296875
gg_2,41,0.02401900291442871,0.0,1.953125
gg_2,42,0.017034530639648438,0.0,1.94140625
gg_2,43,0.01564335823059082,0.0,1.94140625
gg_2,44,0.026661396026611328,0.0,1.9609375
gg_2,45,0.026850223541259766,0.0,2.0
gg_2,46,0.026111125946044922,0.0,1.9609375
gg_2,47,0.024455785751342773,0.0,2.0
gg_2,48,0.023746728897094727,0.0,1.953125
gg_2,49,0.023743867874145508,0.0,1.953125
gg_2,50,0.02447962760925293,0.0,1.953125
hlh,1,230.68467688560486,230.03125,309.91796875
hlh,2,232.3899428844452,230.796875,309.9296875
hlh,3,230.834299325943,230.390625,309.93359375
hlh,4,229.54353785514832,229.203125,309.85546875
hlh,5,229.17747378349304,228.8125,309.77734375
hlh,6,229.10221481323242,228.78125,309.85546875
hlh,7,229.25369501113892,228.84375,309.87109375
hlh,8,230.1187846660614,229.796875,309.91015625
hlh,9,229.61744451522827,229.1875,309.94140625
hlh,10,229.43026185035706,229.125,309.78125
hlh,11,229.77548742294312,229.359375,309.90625
hlh,12,230.36001205444336,229.90625,309.921875
hlh,13,231.14000177383423,230.6875,309.79296875
hlh,14,229.4309844970703,228.9375,309.7734375
hlh,15,229.48015189170837,229.15625,309.86328125
hlh,16,229.57510995864868,229.125,309.91796875
hlh,17,229.96061754226685,229.734375,309.76953125
hlh,18,230.38584685325623,230.109375,309.91796875
hlh,19,229.78583765029907,229.3125,309.7578125
hlh,20,229.4596722126007,229.078125,309.56640625
hlh,21,230.3219223022461,230.03125,309.7734375
hlh,22,230.54868245124817,230.140625,309.9296875
hlh,23,229.88571619987488,229.5,309.91796875
hlh,24,230.3262689113617,229.875,309.92578125
hlh,25,237.5791985988617,236.8125,309.8671875
hlh,26,232.1216435432434,231.8125,309.359375
hlh,27,231.5429880619049,231.265625,309.92578125
hlh,28,231.57996892929077,231.296875,309.7734375
hlh,29,231.46039366722107,231.171875,309.7890625
hlh,30,231.26936960220337,231.046875,309.921875
hlh,31,232.24906945228577,231.90625,309.78125
hlh,32,233.00612258911133,232.75,309.765625
hlh,33,232.36056423187256,232.09375,309.765625
hlh,34,231.73773622512817,231.3125,309.54296875
hlh,35,232.05368185043335,231.671875,309.92578125
hlh,36,231.3487148284912,231.03125,309.7578125
hlh,37,232.39547634124756,232.1875,309.44140625
hlh,38,231.3232638835907,231.015625,309.91796875
hlh,39,231.90979385375977,231.609375,309.93359375
hlh,40,231.94605255126953,231.5625,309.921875
hlh,41,234.3212718963623,234.015625,309.4375
hlh,42,232.81094408035278,232.640625,309.92578125
hlh,43,232.2328383922577,231.859375,309.9296875
hlh,44,231.53226828575134,231.171875,309.9296875
hlh,45,232.70873880386353,232.421875,309.76171875
hlh,46,232.3476116657257,232.046875,309.9140625
hlh,47,231.36627340316772,231.140625,309.9375
hlh,48,232.9604616165161,232.65625,309.4453125
hlh,49,233.41117882728577,233.03125,309.9140625
hlh,50,232.24616956710815,231.9375,309.9140625
ihoc,1,0.5270860195159912,0.515625,7.54296875
ihoc,2,0.5285656452178955,0.5,7.54296875
ihoc,3,0.5222318172454834,0.5,7.54296875
ihoc,4,0.5267586708068848,0.5,7.53515625
ihoc,5,0.521986722946167,0.5,7.54296875
ihoc,6,0.5278205871582031,0.5,7.54296875
ihoc,7,0.5293459892272949,0.5,7.54296875
ihoc,8,0.526829719543457,0.5,7.5390625
ihoc,9,0.5375864505767822,0.484375,7.546875
ihoc,10,0.5346107482910156,0.5,7.54296875
ihoc,11,0.5290625095367432,0.515625,7.54296875
ihoc,12,0.5312931537628174,0.5,7.54296875
ihoc,13,0.5231597423553467,0.515625,7.5390625
ihoc,14,0.5199985504150391,0.5,7.54296875
ihoc,15,0.5313470363616943,0.5,7.546875
ihoc,16,0.5311288833618164,0.5,7.5390625
ihoc,17,0.5294322967529297,0.5,7.54296875
ihoc,18,0.5333209037780762,0.5,7.5390625
ihoc,19,0.5263066291809082,0.5,7.54296875
ihoc,20,0.5359625816345215,0.5,7.5390625
ihoc,21,0.5304703712463379,0.5,7.54296875
ihoc,22,0.5402181148529053,0.5,7.5390625
ihoc,23,0.5297973155975342,0.5,7.5390625
ihoc,24,0.5262126922607422,0.5,7.54296875
ihoc,25,0.5251672267913818,0.5,7.5390625
ihoc,26,0.5356464385986328,0.5,7.54296875
ihoc,27,0.5306563377380371,0.5,7.5390625
ihoc,28,0.5256469249725342,0.484375,7.54296875
ihoc,29,0.5239994525909424,0.5,7.54296875
ihoc,30,0.527470588684082,0.515625,7.515625
ihoc,31,0.5315148830413818,0.5,7.5390625
ihoc,32,0.5200283527374268,0.46875,7.54296875
ihoc,33,0.5288889408111572,0.5,7.5390625
ihoc,34,0.5191247463226318,0.515625,7.5390625
ihoc,35,0.5258042812347412,0.5,7.54296875
ihoc,36,0.5247762203216553,0.484375,7.54296875
ihoc,37,0.5209524631500244,0.5,7.54296875
ihoc,38,0.52738356590271,0.5,7.54296875
ihoc,39,0.5289628505706787,0.5,7.54296875
ihoc,40,0.5138015747070312,0.5,7.51171875
ihoc,41,0.5299801826477051,0.484375,7.53515625
ihoc,42,0.5290515422821045,0.5,7.54296875
ihoc,43,0.5375180244445801,0.5,7.54296875
ihoc,44,0.5363798141479492,0.5,7.5390625
ihoc,45,0.5273401737213135,0.5,7.54296875
ihoc,46,0.5289359092712402,0.5,7.54296875
ihoc,47,0.5314090251922607,0.5,7.5390625
ihoc,48,0.5254299640655518,0.5,7.54296875
ihoc,49,0.5231411457061768,0.5,7.546875
ihoc,50,0.5291595458984375,0.5,7.53515625
ml_1,1,0.024942874908447266,0.0,1.99609375
ml_1,2,0.02123236656188965,0.0,1.99609375
ml_1,3,0.025792360305786133,0.0,2.0
ml_1,4,0.01911020278930664,0.0,1.96875
ml_1,5,0.016778230667114258,0.0,1.9609375
ml_1,6,0.017815351486206055,0.0,1.99609375
ml_1,7,0.018817901611328125,0.0,1.9609375
ml_1,8,0.01863884925842285,0.0,1.953125
ml_1,9,0.018541574478149414,0.0,1.94921875
ml_1,10,0.018186330795288086,0.0,1.94140625
ml_1,11,0.019581079483032227,0.0,1.94921875
ml_1,12,0.018095970153808594,0.0,1.94140625
ml_1,13,0.018767356872558594,0.0,1.94140625
ml_1,14,0.019901752471923828,0.0,1.95703125
ml_1,15,0.008699655532836914,0.0,1.94140625
ml_1,16,0.0189359188079834,0.0,1.94921875
ml_1,17,0.018099069595336914,0.0,1.99609375
ml_1,18,0.01812744140625,0.0,1.9609375
ml_1,19,0.018285512924194336,0.0,1.94140625
ml_1,20,0.02195906639099121,0.0,1.9609375
ml_1,21,0.017859935760498047,0.0,1.9609375
ml_1,22,0.01821446418762207,0.0,1.953125
ml_1,23,0.0216672420501709,0.0,1.9609375
ml_1,24,0.009609699249267578,0.0,1.99609375
ml_1,25,0.02189326286315918,0.0,2.0
ml_1,26,0.023024797439575195,0.0,2.0
ml_1,27,0.017963409423828125,0.0,1.953125
ml_1,28,0.018213987350463867,0.0,1.94140625
ml_1,29,0.018343687057495117,0.0,1.953125
ml_1,30,0.0182647705078125,0.0,1.953125
ml_1,31,0.01898932456970215,0.0,1.9609375
ml_1,32,0.010840654373168945,0.0,1.953125
ml_1,33,0.01825261116027832,0.0,1.99609375
ml_1,34,0.022388696670532227,0.0,1.953125
ml_1,35,0.012839555740356445,0.0,1.99609375
ml_1,36,0.018669605255126953,0.0,1.99609375
ml_1,37,0.018344879150390625,0.0,1.9609375
ml_1,38,0.01732921600341797,0.0,1.9609375
ml_1,39,0.017881155014038086,0.0,1.953125
ml_1,40,0.018544435501098633,0.0,1.953125
ml_1,41,0.018575668334960938,0.0,1.9375
ml_1,42,0.018204212188720703,0.0,1.96875
ml_1,43,0.013995170593261719,0.0,1.94921875
ml_1,44,0.020015239715576172,0.0,1.99609375
ml_1,45,0.02134561538696289,0.0,1.95703125
ml_1,46,0.017603635787963867,0.0,1.953125
ml_1,47,0.019244670867919922,0.0,1.953125
ml_1,48,0.026859760284423828,0.0,1.94140625
ml_1,49,0.018764495849609375,0.0,1.9609375
ml_1,50,0.017984628677368164,0.0,1.9609375
ml_2,1,0.02224135398864746,0.0,1.95703125
ml_2,2,0.022589445114135742,0.0,1.9609375
ml_2,3,0.0223391056060791,0.0,1.9609375
ml_2,4,0.021431922912597656,0.0,1.9921875
ml_2,5,0.024253368377685547,0.0,1.94140625
ml_2,6,0.021610736846923828,0.0,1.953125
ml_2,7,0.021579980850219727,0.0,1.94921875
ml_2,8,0.015677690505981445,0.0,1.94140625
ml_2,9,0.021944761276245117,0.0,1.94140625
ml_2,10,0.022320270538330078,0.0,1.953125
ml_2,11,0.013280630111694336,0.0,1.94921875
ml_2,12,0.02179265022277832,0.0,1.99609375
ml_2,13,0.01804947853088379,0.0,1.94140625
ml_2,14,0.025124311447143555,0.0,1.9609375
ml_2,15,0.0140380859375,0.0,2.0
ml_2,16,0.027367353439331055,0.0,1.9609375
ml_2,17,0.023669719696044922,0.0,1.9609375
